,id,location,latitude,longitude
301,646711968532000000,San Antonio,-28.93313,-65.09745
302,646712950012000000,San Antonio,-28.93313,-65.09745
303,646713138239000000,San Antonio,-28.93313,-65.09745
304,646714916960000000,San Antonio,-28.93313,-65.09745
305,646711968532000000,San Antonio,-28.00927,-65.71218
306,646712950012000000,San Antonio,-28.00927,-65.71218
307,646713138239000000,San Antonio,-28.00927,-65.71218
308,646714916960000000,San Antonio,-28.00927,-65.71218
309,646711968532000000,San Antonio,-24.36753,-65.33471
310,646712950012000000,San Antonio,-24.36753,-65.33471
311,646713138239000000,San Antonio,-24.36753,-65.33471
312,646714916960000000,San Antonio,-24.36753,-65.33471
313,646711388418000000,Lincoln,-34.86649,-61.5302
314,646714541851000000,Lincoln,-34.86649,-61.5302
315,646712545580000000,Italó,-34.79237,-63.78199
316,646714290910000000,Italó,-34.79237,-63.78199
317,646714998677000000,Italó,-34.79237,-63.78199
318,646715272146000000,Italó,-34.79237,-63.78199
319,646712429331000000,Elena,-32.57205,-64.39481
320,646711388418000000,Colón,-33.89512,-61.1011
321,646714541851000000,Colón,-33.89512,-61.1011
322,646711031008000000,Allen,-38.97736,-67.82714
323,646713571620000000,Allen,-38.97736,-67.82714
324,646711012017000000,Aūa,-14.27611,-170.66389
325,646711029175000000,Aūa,-14.27611,-170.66389
326,646711842107000000,Aūa,-14.27611,-170.66389
327,646713189905000000,Aūa,-14.27611,-170.66389
328,646713192296000000,Aūa,-14.27611,-170.66389
329,646715470830000000,Aūa,-14.27611,-170.66389
330,646710409920000000,Ta`ū,-14.23361,-169.51444
331,646710521484000000,Ta`ū,-14.23361,-169.51444
332,646710525884000000,Ta`ū,-14.23361,-169.51444
333,646710533027000000,Ta`ū,-14.23361,-169.51444
334,646710796488000000,Ta`ū,-14.23361,-169.51444
335,646710807725000000,Ta`ū,-14.23361,-169.51444
336,646710851576000000,Ta`ū,-14.23361,-169.51444
337,646710881091000000,Ta`ū,-14.23361,-169.51444
338,646710894882000000,Ta`ū,-14.23361,-169.51444
339,646710924997000000,Ta`ū,-14.23361,-169.51444
340,646710963765000000,Ta`ū,-14.23361,-169.51444
341,646711049501000000,Ta`ū,-14.23361,-169.51444
342,646711069332000000,Ta`ū,-14.23361,-169.51444
343,646711080682000000,Ta`ū,-14.23361,-169.51444
344,646711083412000000,Ta`ū,-14.23361,-169.51444
345,646711119546000000,Ta`ū,-14.23361,-169.51444
346,646711121719000000,Ta`ū,-14.23361,-169.51444
347,646711127838000000,Ta`ū,-14.23361,-169.51444
348,646711137560000000,Ta`ū,-14.23361,-169.51444
349,646711163670000000,Ta`ū,-14.23361,-169.51444
350,646711180212000000,Ta`ū,-14.23361,-169.51444
351,646711277466000000,Ta`ū,-14.23361,-169.51444
352,646711310097000000,Ta`ū,-14.23361,-169.51444
353,646711323691000000,Ta`ū,-14.23361,-169.51444
354,646711329656000000,Ta`ū,-14.23361,-169.51444
355,646711346571000000,Ta`ū,-14.23361,-169.51444
356,646711368293000000,Ta`ū,-14.23361,-169.51444
357,646711372228000000,Ta`ū,-14.23361,-169.51444
358,646711387499000000,Ta`ū,-14.23361,-169.51444
359,646711398706000000,Ta`ū,-14.23361,-169.51444
360,646711410996000000,Ta`ū,-14.23361,-169.51444
361,646711416205000000,Ta`ū,-14.23361,-169.51444
362,646711442629000000,Ta`ū,-14.23361,-169.51444
363,646711448648000000,Ta`ū,-14.23361,-169.51444
364,646711498690000000,Ta`ū,-14.23361,-169.51444
365,646711520610000000,Ta`ū,-14.23361,-169.51444
366,646711610364000000,Ta`ū,-14.23361,-169.51444
367,646711644962000000,Ta`ū,-14.23361,-169.51444
368,646711652256000000,Ta`ū,-14.23361,-169.51444
369,646711656786000000,Ta`ū,-14.23361,-169.51444
370,646711689548000000,Ta`ū,-14.23361,-169.51444
371,646711766434000000,Ta`ū,-14.23361,-169.51444
372,646711836864000000,Ta`ū,-14.23361,-169.51444
373,646711837925000000,Ta`ū,-14.23361,-169.51444
374,646711923946000000,Ta`ū,-14.23361,-169.51444
375,646711924739000000,Ta`ū,-14.23361,-169.51444
376,646711995069000000,Ta`ū,-14.23361,-169.51444
377,646712038321000000,Ta`ū,-14.23361,-169.51444
378,646712044789000000,Ta`ū,-14.23361,-169.51444
379,646712103190000000,Ta`ū,-14.23361,-169.51444
380,646712163886000000,Ta`ū,-14.23361,-169.51444
381,646712187269000000,Ta`ū,-14.23361,-169.51444
382,646712191384000000,Ta`ū,-14.23361,-169.51444
383,646712191295000000,Ta`ū,-14.23361,-169.51444
384,646712191346000000,Ta`ū,-14.23361,-169.51444
385,646712278269000000,Ta`ū,-14.23361,-169.51444
386,646712290499000000,Ta`ū,-14.23361,-169.51444
387,646712356279000000,Ta`ū,-14.23361,-169.51444
388,646712516912000000,Ta`ū,-14.23361,-169.51444
389,646712529784000000,Ta`ū,-14.23361,-169.51444
390,646712540711000000,Ta`ū,-14.23361,-169.51444
391,646712545580000000,Ta`ū,-14.23361,-169.51444
392,646712576740000000,Ta`ū,-14.23361,-169.51444
393,646712594398000000,Ta`ū,-14.23361,-169.51444
394,646712641797000000,Ta`ū,-14.23361,-169.51444
395,646712644054000000,Ta`ū,-14.23361,-169.51444
396,646712645031000000,Ta`ū,-14.23361,-169.51444
397,646712730415000000,Ta`ū,-14.23361,-169.51444
398,646712773742000000,Ta`ū,-14.23361,-169.51444
399,646712797884000000,Ta`ū,-14.23361,-169.51444
400,646712843489000000,Ta`ū,-14.23361,-169.51444
401,646712858383000000,Ta`ū,-14.23361,-169.51444
402,646712863508000000,Ta`ū,-14.23361,-169.51444
403,646712889395000000,Ta`ū,-14.23361,-169.51444
404,646712925496000000,Ta`ū,-14.23361,-169.51444
405,646713025270000000,Ta`ū,-14.23361,-169.51444
406,646713042311000000,Ta`ū,-14.23361,-169.51444
407,646713079158000000,Ta`ū,-14.23361,-169.51444
408,646713145676000000,Ta`ū,-14.23361,-169.51444
409,646713154467000000,Ta`ū,-14.23361,-169.51444
410,646713160616000000,Ta`ū,-14.23361,-169.51444
411,646713169156000000,Ta`ū,-14.23361,-169.51444
412,646713206258000000,Ta`ū,-14.23361,-169.51444
413,646713259409000000,Ta`ū,-14.23361,-169.51444
414,646713301083000000,Ta`ū,-14.23361,-169.51444
415,646713325372000000,Ta`ū,-14.23361,-169.51444
416,646713468293000000,Ta`ū,-14.23361,-169.51444
417,646713501571000000,Ta`ū,-14.23361,-169.51444
418,646713523713000000,Ta`ū,-14.23361,-169.51444
419,646713529132000000,Ta`ū,-14.23361,-169.51444
420,646713570013000000,Ta`ū,-14.23361,-169.51444
421,646713575558000000,Ta`ū,-14.23361,-169.51444
422,646713580994000000,Ta`ū,-14.23361,-169.51444
423,646713603430000000,Ta`ū,-14.23361,-169.51444
424,646713614377000000,Ta`ū,-14.23361,-169.51444
425,646713621964000000,Ta`ū,-14.23361,-169.51444
426,646713656064000000,Ta`ū,-14.23361,-169.51444
427,646713660283000000,Ta`ū,-14.23361,-169.51444
428,646713673923000000,Ta`ū,-14.23361,-169.51444
429,646713698481000000,Ta`ū,-14.23361,-169.51444
430,646713720367000000,Ta`ū,-14.23361,-169.51444
431,646713728973000000,Ta`ū,-14.23361,-169.51444
432,646713753074000000,Ta`ū,-14.23361,-169.51444
433,646713763664000000,Ta`ū,-14.23361,-169.51444
