id,created_at,"regexp_replace(text, ',+', ' ')",time_zone,latitude,longitude,country_code
615460712140435456,Mon Jun 29 10:04:03 +0000 2015,RT @CineHaymarket: For your chance to win this fab #Minions merchandise  follow &amp; RT. Book tickets now at http://t.co/G4MUZ99ugw http://t.c…,London,42.9833908081,-81.233039856,CA
615456174784270337,Mon Jun 29 09:46:01 +0000 2015,Minion squad 🍌👀 https://t.co/NzzIfB4jWX,Beijing,39.9075012207,116.397232056,CN
615468800109056000,Mon Jun 29 10:36:11 +0000 2015,"I liked a @YouTube video http://t.co/4d8ATcps59 Minion ""oh hello"" kid ""hello mother f*cker",Melbourne,53.887550354,-0.85925000906,GB
615476957774352384,Mon Jun 29 11:08:36 +0000 2015,@SK_Jiminel iya curhat aja minion,Novosibirsk,55.0415000916,82.9346008301,RU
615481464352821248,Mon Jun 29 11:26:30 +0000 2015,RT @RealDollyFox: Time to pack and back to Belgium. #minion hanging on to #2000cc #bigboobs! 😀 http://t.co/zohvT2u7mc,Madrid,19.0845909119,-103.871231079,MX
615485120502452224,Mon Jun 29 11:41:02 +0000 2015,RT @highsnobiety: BAPE's latest collaboration turns you into a Minion: http://t.co/fpqoIXHJFo http://t.co/LZuPQEEP9z,Paris,39.6111488342,-87.6961364746,US
615490169593032704,Mon Jun 29 12:01:06 +0000 2015,#aclaración  es cumpleaños de minion no de user (?),Santiago,-29.1916694641,-54.8672218323,BR
615479728061943809,Mon Jun 29 11:19:36 +0000 2015,Mercredi on va chercher mon gros minion 😁,Ljubljana,46.0510787964,14.5051298141,SI
615465034060173312,Mon Jun 29 10:21:13 +0000 2015,Sandra Bullock Tampil Elegan Pakai Sepatu Minion http://t.co/JMzzszCXXN,Bangkok,13.7539796829,100.501441956,TH
615487901665771520,Mon Jun 29 11:52:05 +0000 2015,RT @swegacc: Yang on retweet gue bagi foto minion yg lucu. Tp salah satunya aja,Bangkok,13.7539796829,100.501441956,TH
615487533259079680,Mon Jun 29 11:50:37 +0000 2015,jvais vomir https://t.co/qUX0domLrn,Paris,33.6609382629,-95.5555114746,US
615495097514373120,Mon Jun 29 12:20:41 +0000 2015,RT @Brocklesnitch: the three main Minion characters are ‘kevin  stuart and bob’ i am not interested in a movie with three main characters n…,London,35.3289718628,-93.2529602051,US
615486372179087360,Mon Jun 29 11:46:00 +0000 2015,@FCR_jimin91 ih avanya minion :3,Athens,39.9608802795,-89.723991394,US
615483161246625792,Mon Jun 29 11:33:15 +0000 2015,Don't forget about our great range of Minion products on our website too! Prices start from £4.95: http://t.co/ZrtUqfBuze #MinionsRule,London,35.3289718628,-93.2529602051,US
615501469744238592,Mon Jun 29 12:46:00 +0000 2015,RT @sorrygru: ❕❗❕❗❕❗❕❗THIS IS A MINION 🆓FREE🆓 ACCOUNT❗❕❗❕❗❕❗❕ ↖↖↖THIS↖↖↖ PERSON 🚫HATES🚫 MINIONS‼‼‼,Paris,44.2597885132,-70.500617981,US
615462105773383680,Mon Jun 29 10:09:35 +0000 2015,"RT @Trazos: ""Minion"" by Teresa Medina #Trazos | Resultados profesionales en portfolios de alumnos #Character #Design #ConceptArt http://t.c…",Athens,34.8028717041,-86.9716720581,US
